teams_codes_concat,pm_market_id,pm_slug,pm_yes_token,pm_no_token,pm_best_bid,pm_best_ask,pm_question,pm_event_start_utc,kalshi_event_ticker,kalshi_market_ticker,kalshi_strike_utc
CHIGB,789753,nfl-chi-gb-2025-12-07-team-total-chi-19pt5,,,0.08,0.74,Bears Team Total: O/U 19.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O19_5,
CHIGB,741963,nfl-chi-gb-2025-12-07-team-total-gb-24pt5,,,0.04,0.71,Packers Team Total: O/U 24.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O24_5,
CHIGB,787796,nfl-chi-gb-2025-12-07-total-44pt5,,,0.49,0.51,Bears vs. Packers: O/U 44.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O44_5,
CHIGB,784358,nfl-chi-gb-2025-12-07-spread-home-5pt5,,,0.55,0.58,Spread: Packers (-5.5),2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-SPREAD-CHI-5_5,
CHIGB,789754,nfl-chi-gb-2025-12-07-1h-total-23pt5,,,0.42,0.49,Bears vs. Packers: 1H O/U 23.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-1H-TOTAL-O23_5,
CHIGB,817680,nfl-chi-gb-2025-12-07-team-total-chi-10pt5,,,0.17,0.83,Bears Team Total: O/U 10.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O10_5,
CHIGB,782362,nfl-chi-gb-2025-12-07-total-45pt5,,,0.45,0.48,Bears vs. Packers: O/U 45.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O45_5,
CHIGB,789752,nfl-chi-gb-2025-12-07-team-total-gb-26pt5,,,0.25,0.88,Packers Team Total: O/U 26.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O26_5,
CHIGB,720157,nfl-chi-gb-2025-12-07-spread-home-7pt5,,,0.44,0.45,Spread: Packers (-7.5),2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-SPREAD-CHI-7_5,
CHIGB,704956,nfl-chi-gb-2025-12-07-total-46pt5,,,0.43,0.45,Bears vs. Packers: O/U 46.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O46_5,
CHIGB,741964,nfl-chi-gb-2025-12-07-team-total-chi-20pt5,,,0.05,0.75,Bears Team Total: O/U 20.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O20_5,
CHIGB,704955,nfl-chi-gb-2025-12-07-spread-home-6pt5,,,0.51,0.52,Spread: Packers (-6.5),2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-SPREAD-CHI-6_5,
CHIGB,700746,nfl-chi-gb-2025-12-07,,,0.26,0.28,Bears vs. Packers,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-GB,
CHIGB,789755,nfl-chi-gb-2025-12-07-1h-moneyline,,,0.29,0.36,Bears vs. Packers: 1H Moneyline,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-GB,
CHIGB,806333,nfl-chi-gb-2025-12-07-team-total-chi-18pt5,,,0.08,0.73,Bears Team Total: O/U 18.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O18_5,
CHIGB,790186,nfl-chi-gb-2025-12-07-1h-spread-home-3pt5,,,0.47,0.53,1H Spread: Packers (-3.5),2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-1H-SPREAD-CHI-3_5,
CHIGB,720157,nfl-chi-gb-2025-12-07-spread-home-7pt5,,,0.44,0.45,Spread: Packers (-7.5),2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-SPREAD-CHI-7_5,
CHIGB,704956,nfl-chi-gb-2025-12-07-total-46pt5,,,0.43,0.45,Bears vs. Packers: O/U 46.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O46_5,
CHIGB,741964,nfl-chi-gb-2025-12-07-team-total-chi-20pt5,,,0.07,0.74,Bears Team Total: O/U 20.5,2025-12-07T21:25:00+00:00,KXNFLGAME-25DEC07CHIGB,KXNFLGAME-25DEC07CHIGB-TOTAL-O20_5,
